AKB_FILIAL;AKB_PROCES;AKB_ITEM;AKB_DESCRI;AKB_ORIGEM;AKB_ENTIDA;AKB_INDICE;AKB_PERMR;AKB_CFGON;AKB_ESTORN
01;000014;01;"FATURAS A RECEBER - Geracao de faturas a receber                                ";"  ";SE1;1;" ";2;" "
01;000014;02;"FATURAS A RECEBER - Baixa Titulo a Receber ref. Fatura                          ";"  ";SE1;1;" ";2;" "
01;000015;01;"FATURAS A PAGAR - Geracao de faturas a pagar                                    ";"  ";SE2;1;" ";2;" "
01;000015;02;"FATURAS A PAGAR - Baixa Titulo a Pagar ref. Fatura                              ";"  ";SE2;1;" ";2;" "
01;000016;01;"COMPENSACAO CR - Titulo Principal                                               ";"  ";SE1;1;" ";2;" "
01;000016;02;"COMPENSACAO CR - Titulo Compensado                                              ";"  ";SE1;1;" ";2;" "
01;000016;03;"COMPENSACAO CR - Baixa Titulo Principal                                         ";"  ";SE5;2;" ";2;" "
01;000016;04;"COMPENSACAO CR - Baixa Titulo Compensado                                        ";"  ";SE5;2;" ";2;" "
01;000016;05;"COMPENSACAO CR - Canc.Baixa Titulo Principal                                    ";"  ";SE5;2;" ";2;" "
01;000016;06;"COMPENSACAO CR - Canc.Baixa Titulo Compensado                                   ";"  ";SE5;2;" ";2;" "
01;000017;01;"COMPENSACAO CP - Titulo Principal                                               ";"  ";SE2;6;" ";2;" "
01;000017;02;"COMPENSACAO CP - Titulo Compensado                                              ";"  ";SE2;6;" ";2;" "
01;000017;03;"COMPENSACAO CP - Baixa Titulo Principal                                         ";"  ";SE5;2;" ";2;" "
01;000017;04;"COMPENSACAO CP - Baixa Titulo Compensado                                        ";"  ";SE5;2;" ";2;" "
01;000017;05;"COMPENSACAO CP - Canc.Baixa Titulo Principal                                    ";"  ";SE5;2;" ";2;" "
01;000017;06;"COMPENSACAO CP - Canc.Baixa Titulo Compensado                                   ";"  ";SE5;2;" ";2;" "
01;000018;01;"COMPENSACAO ENTRE CARTEIRAS - Compensacao de carteiras - PAGAR                  ";"  ";SE2;1;" ";2;" "
01;000018;02;"COMPENSACAO ENTRE CARTEIRAS - Compensacao de carteiras - RECEBER                ";"  ";SE1;1;" ";2;" "
01;000019;01;"VARIACAO MONETARIA - Compensacao monetaria de contas a pagar                    ";"  ";SE2;1;" ";2;" "
01;000019;02;"VARIACAO MONETARIA - Compensacao monetaria de contas a receber                  ";"  ";SE1;1;" ";2;" "
01;000020;01;RETORNO DE COMUNICACAO BANCARIA A PAGAR - RETORNO DE COMUNICACAO BANCARIA A PAGA;"  ";SE2;1;" ";2;" "
01;000021;01;"CONTAS A PAGAR-RATEIO - Inclusao de titulos a pagar-Rateio                      ";"  ";CV4;1;" ";2;" "
01;000022;01;"RETORNO DE COMUNICACAO BANCARIA (SISPAG) - Baixas/comunicacao bancaria(SISPAG)  ";"  ";SE5;2;" ";2;" "
01;000022;02;"RETORNO DE COMUNICACAO BANCARIA (SISPAG) - Baixas/comunicacao bancaria(SISPAG)  ";"  ";SE2;1;" ";2;" "
01;000023;01;"BORDERO DE PAGAMENTOS - Bordero de Pagamentos-Titulo Original                   ";"  ";SE2;1;" ";2;" "
01;000023;02;"BORDERO DE PAGAMENTOS - Bordero de Pagamentos-Baixa Ref.Impostos                ";"  ";SE5;2;" ";2;" "
01;000023;03;"BORDERO DE PAGAMENTOS - Bordero de Pagamentos-Inclusao Ref. PIS                 ";"  ";SE2;1;" ";2;" "
01;000023;04;"BORDERO DE PAGAMENTOS - Bordero de Pagamentos-Inclusao Ref. COFINS              ";"  ";SE2;1;" ";2;" "
01;000023;05;"BORDERO DE PAGAMENTOS - Bordero de Pagamentos-Inclusao Ref. CSLL                ";"  ";SE2;1;" ";2;" "
01;000023;06;"BORDERO DE PAGAMENTOS - Bordero de Pagamentos-Inclusao Ref. IRRF                ";"  ";SE2;1;" ";2;" "
01;000024;01;"Baixas a Pagar Automática Multi-Filiais - Baixas por bordero de pagamento       ";"  ";SE5;2;" ";2;" "
01;000050;01;"CONTRATO DE PARCERIA - Inclusao de contrato                                     ";"  ";SC3;1;" ";2;" "
01;000051;01;"SOLICITACAO DE COMPRAS - Inclusao de solicitacao de compras                     ";"  ";SC1;1;" ";2;" "
01;000051;02;"SOLICITACAO DE COMPRAS - Aprovacao de solicitacao de compras                    ";"  ";SC1;1;" ";2;" "
01;000051;03;"SOLICITACAO DE COMPRAS - Rateio por CC na cotação                               ";"  ";SCX;1;" ";2;" "
01;000052;01;"PEDIDO DE COMPRAS - Inclusao de pedido de compras - ITENS                       ";"  ";SC7;1;" ";2;" "
01;000052;02;"PEDIDO DE COMPRAS - Inclusao de pedido de compras por cotacao                   ";"  ";SC8;1;" ";2;" "
